chain,mean,median
ethereum,0.629655172413793,0.595
polygon,0.005344827586206896,0.01
arbitrum,0.5070689655172415,0.505
optimism,0.4093103448275863,0.4
bnb,0.4806896551724138,0.435
gnosis,0.42275862068965514,0.41
avalanche,0.4512068965517241,0.35
