date,1,42161,56,137,5,10,43114,100,84531,1313161554,42220,11155111,Totals
20230413,757,279,208,211,100,87,21,4,7,3,0,0,1677
20230414,670,235,358,124,115,78,53,27,10,2,0,0,1672
20230415,338,72,204,84,46,69,9,8,15,0,0,0,845
20230416,346,248,167,132,49,40,31,5,5,2,0,0,1025
20230417,860,331,371,225,101,84,32,25,28,5,0,0,2062
20230418,596,271,250,497,139,37,61,24,40,1,0,0,1916
20230419,691,216,313,144,80,64,37,10,25,2,0,0,1582
20230420,659,220,417,237,103,53,27,4,29,0,1,0,1750
20230421,863,239,249,293,135,80,36,0,24,26,0,0,1945
20230422,391,178,143,110,38,34,23,2,5,0,0,0,924
20230423,289,200,124,70,53,17,16,6,16,0,0,0,791
20230424,670,264,349,256,79,56,49,0,4,4,4,0,1735
20230425,802,287,287,238,93,45,62,26,18,0,6,0,1864
20230426,690,296,336,191,125,141,60,38,5,0,1,0,1883
20230427,761,223,240,179,181,59,41,79,3,0,3,0,1769
20230428,828,289,251,199,67,89,46,10,1,3,1,0,1784
20230429,349,145,108,62,18,38,11,6,6,0,0,0,743
20230430,337,147,121,65,37,26,24,2,14,0,0,0,773
20230501,819,186,313,173,19,73,70,12,0,2,2,0,1669
20230502,767,182,338,263,53,66,63,5,18,0,1,0,1756
20230503,912,203,247,160,107,95,39,4,1,4,5,0,1777
20230504,664,226,264,196,124,83,50,7,2,4,1,0,1621
20230505,544,300,216,185,126,88,40,6,7,18,7,0,1537
20230506,282,138,112,68,122,53,12,3,0,0,0,0,790
20230507,289,117,198,77,83,35,27,3,0,3,1,0,833
20230508,760,197,294,189,51,45,56,6,0,0,14,0,1612
20230509,652,156,262,200,138,75,21,7,4,5,2,0,1522
20230510,524,184,285,135,100,53,58,23,3,5,14,0,1384
20230511,553,189,229,179,71,45,42,16,0,10,5,0,1339
20230512,705,248,234,98,91,81,209,9,7,1,0,0,1683
20230513,327,256,113,123,76,45,105,23,0,2,0,0,1070
20230514,256,59,103,214,53,56,16,14,1,0,0,0,772
20230515,669,353,263,161,131,44,49,21,2,5,1,0,1699
20230516,746,474,272,262,95,46,61,18,0,1,0,0,1975
20230517,616,483,199,168,69,58,32,14,1,34,1,0,1675
20230518,587,186,331,191,114,53,57,24,1,2,4,0,1550
20230519,551,464,290,240,106,48,26,23,5,2,4,1,1760
20230520,338,582,101,190,10,59,5,0,4,4,2,0,1295
20230521,340,448,131,229,18,33,30,3,0,10,2,0,1244
20230522,585,269,241,244,120,47,91,12,17,6,4,2,1638
20230523,631,554,223,220,76,45,43,13,3,0,1,0,1809
20230524,676,302,273,166,113,48,52,21,3,7,1,0,1662
20230525,574,578,245,165,96,64,61,6,12,28,0,4,1833
20230526,617,343,202,142,58,27,41,3,1,3,0,0,1437
20230527,222,291,121,96,28,20,6,0,3,8,0,0,795
20230528,279,337,153,46,35,35,5,32,2,1,0,0,925
20230529,659,244,250,383,103,59,43,27,12,4,0,0,1784
20230530,662,193,278,637,106,29,227,10,36,3,6,9,2196
20230531,899,309,276,283,77,89,49,1,9,3,1,0,1996
20230601,800,189,371,354,67,89,37,13,4,1,4,4,1933
20230602,825,409,333,520,63,59,56,2,33,0,0,2,2302
20230603,382,396,107,449,24,47,12,0,12,0,2,0,1431
20230604,306,265,89,528,9,29,11,41,8,0,2,0,1288
20230605,617,260,265,304,76,48,60,5,10,0,13,0,1658
20230606,654,204,253,209,102,36,38,24,22,0,30,0,1572
20230607,668,251,280,140,76,70,52,25,15,2,5,0,1584
20230608,532,169,383,296,97,62,47,8,6,2,5,0,1607
20230609,586,210,153,252,86,71,180,13,3,2,7,0,1563
20230610,372,208,158,848,9,29,255,4,12,0,8,0,1903
20230611,243,102,105,554,42,39,62,7,0,0,3,0,1157
20230612,696,271,193,371,116,48,77,0,3,2,0,2,1779
20230613,745,205,240,368,133,39,61,33,7,1,1,2,1835
20230614,591,240,247,277,67,61,67,23,15,0,0,1,1589
20230615,815,277,321,303,126,40,41,9,2,0,2,2,1938
20230616,494,215,202,246,72,80,54,0,4,1,4,0,1372
20230617,245,84,122,98,9,52,29,0,2,1,0,0,642
20230618,185,130,77,291,4,33,16,1,0,1,0,0,738
20230619,490,374,173,408,23,90,25,7,3,3,5,0,1601
20230620,645,287,152,682,28,81,25,11,11,0,5,0,1927
20230621,655,479,273,437,18,55,36,12,0,4,1,0,1970
20230622,577,397,171,321,35,54,44,5,13,5,10,0,1632
20230623,686,318,236,317,24,59,44,17,13,0,4,0,1718
20230624,289,282,105,218,0,26,1,1,1,0,0,0,923
20230625,325,283,125,390,38,75,21,0,0,0,6,0,1263
20230626,641,348,177,409,16,77,23,5,1,5,5,0,1707
20230627,748,307,180,419,50,195,50,1,2,0,3,0,1955
20230628,696,351,220,274,71,120,36,8,1,0,5,0,1782
20230629,583,349,236,428,135,186,41,4,16,4,7,0,1989
20230630,832,291,246,573,66,98,33,3,0,0,2,0,2144
20230701,337,78,125,444,21,71,28,2,0,0,2,0,1108
20230702,395,307,86,433,5,120,22,2,2,0,0,0,1372
20230703,642,416,305,407,65,103,41,5,10,0,5,0,1999
20230704,785,278,237,302,68,100,18,2,10,2,11,0,1813
20230705,636,350,236,217,95,42,38,2,3,0,4,0,1623
20230706,644,400,209,409,114,48,79,14,1,0,4,1,1923
20230707,602,333,217,356,103,49,59,2,5,0,1,0,1727
20230708,279,333,78,201,36,28,85,6,0,0,0,0,1046
20230709,193,329,146,154,11,24,94,9,1,0,5,0,966
20230710,616,387,183,213,89,58,104,1,0,0,0,0,1651
20230711,694,464,299,210,115,69,230,7,0,0,6,0,2094
20230712,705,429,227,209,98,94,298,6,1,1,6,1,2075
20230713,597,399,155,124,99,141,122,13,5,2,0,0,1657
20230714,654,357,198,181,59,226,274,9,1,0,3,0,1962
20230715,380,292,120,81,7,159,146,0,0,0,0,0,1185
20230716,360,126,66,61,49,195,163,1,2,0,4,0,1027
20230717,625,225,181,253,92,156,238,5,0,0,0,0,1775
20230718,591,156,242,188,89,159,138,9,2,0,7,0,1581
20230719,547,161,175,334,66,166,125,11,0,2,2,0,1589
20230720,577,146,177,344,66,149,171,6,5,0,3,0,1644
20230721,555,200,185,375,28,107,341,8,1,0,7,0,1807
20230722,247,85,91,532,30,51,154,5,0,0,0,0,1195
20230723,232,96,97,332,34,38,105,10,0,1,0,0,945
20230724,522,225,272,350,81,110,105,3,0,3,2,0,1673
20230725,678,198,329,441,55,52,194,53,1,0,5,0,2006
20230726,675,288,210,306,64,100,155,5,0,2,2,0,1807
20230727,712,236,201,264,67,108,96,6,1,2,3,0,1696
20230728,1123,209,149,142,30,71,863,9,0,12,3,0,2611
20230729,741,99,62,130,8,16,196,5,0,0,5,0,1262
20230730,715,141,96,114,12,41,137,1,0,0,0,0,1257
20230731,1184,152,231,236,39,123,104,2,1,0,7,0,2079
20230801,944,187,328,387,65,71,159,14,12,3,1,0,2171
20230802,998,250,194,261,62,92,398,1,3,1,1,0,2261
20230803,825,152,257,209,68,94,317,7,5,0,8,0,1942
20230804,806,145,108,263,85,92,347,36,0,0,14,0,1896
20230805,462,117,120,123,8,20,409,31,3,0,0,0,1293
20230806,377,47,124,97,4,40,360,2,1,0,2,0,1054
20230807,686,169,238,150,59,86,354,30,0,1,0,0,1773
20230808,665,169,319,252,34,70,445,8,5,0,7,0,1974
20230809,596,159,208,189,38,82,429,5,2,0,0,0,1708
20230810,587,161,218,189,95,84,471,14,1,0,3,0,1823
20230811,615,161,177,168,70,86,510,21,6,3,0,0,1817
20230812,263,90,114,106,15,57,387,1,8,0,,0,1041
