blockchain,date,safe_txs
arbitrum,2023-07-24 00:00:00.000 UTC,487
arbitrum,2023-07-25 00:00:00.000 UTC,434
arbitrum,2023-07-26 00:00:00.000 UTC,527
arbitrum,2023-07-27 00:00:00.000 UTC,923
arbitrum,2023-07-28 00:00:00.000 UTC,472
arbitrum,2023-07-29 00:00:00.000 UTC,237
arbitrum,2023-07-30 00:00:00.000 UTC,318
arbitrum,2023-07-31 00:00:00.000 UTC,416
arbitrum,2023-08-01 00:00:00.000 UTC,453
arbitrum,2023-08-02 00:00:00.000 UTC,469
arbitrum,2023-08-03 00:00:00.000 UTC,568
arbitrum,2023-08-04 00:00:00.000 UTC,379
arbitrum,2023-08-05 00:00:00.000 UTC,310
arbitrum,2023-08-06 00:00:00.000 UTC,241
arbitrum,2023-08-07 00:00:00.000 UTC,481
arbitrum,2023-08-08 00:00:00.000 UTC,2054
arbitrum,2023-08-09 00:00:00.000 UTC,2877
arbitrum,2023-08-10 00:00:00.000 UTC,1316
arbitrum,2023-08-11 00:00:00.000 UTC,1362
arbitrum,2023-08-12 00:00:00.000 UTC,1077
bnb,2023-04-14 00:00:00.000 UTC,655
bnb,2023-04-15 00:00:00.000 UTC,357
bnb,2023-04-16 00:00:00.000 UTC,345
bnb,2023-04-17 00:00:00.000 UTC,641
bnb,2023-04-18 00:00:00.000 UTC,525
bnb,2023-04-19 00:00:00.000 UTC,578
bnb,2023-04-20 00:00:00.000 UTC,670
bnb,2023-04-21 00:00:00.000 UTC,555
bnb,2023-04-22 00:00:00.000 UTC,328
bnb,2023-04-23 00:00:00.000 UTC,372
bnb,2023-04-24 00:00:00.000 UTC,574
bnb,2023-04-25 00:00:00.000 UTC,546
bnb,2023-04-26 00:00:00.000 UTC,542
bnb,2023-04-27 00:00:00.000 UTC,460
bnb,2023-04-28 00:00:00.000 UTC,432
bnb,2023-04-29 00:00:00.000 UTC,265
bnb,2023-04-30 00:00:00.000 UTC,257
bnb,2023-05-01 00:00:00.000 UTC,577
bnb,2023-05-02 00:00:00.000 UTC,488
bnb,2023-05-03 00:00:00.000 UTC,623
bnb,2023-05-04 00:00:00.000 UTC,1190
bnb,2023-05-05 00:00:00.000 UTC,1530
bnb,2023-05-06 00:00:00.000 UTC,1458
bnb,2023-05-07 00:00:00.000 UTC,450
bnb,2023-05-08 00:00:00.000 UTC,598
bnb,2023-05-09 00:00:00.000 UTC,503
bnb,2023-05-10 00:00:00.000 UTC,608
bnb,2023-05-11 00:00:00.000 UTC,469
bnb,2023-05-12 00:00:00.000 UTC,446
bnb,2023-05-13 00:00:00.000 UTC,403
bnb,2023-05-14 00:00:00.000 UTC,384
bnb,2023-05-15 00:00:00.000 UTC,583
bnb,2023-05-16 00:00:00.000 UTC,540
bnb,2023-05-17 00:00:00.000 UTC,552
bnb,2023-05-18 00:00:00.000 UTC,586
bnb,2023-05-19 00:00:00.000 UTC,563
bnb,2023-05-20 00:00:00.000 UTC,352
bnb,2023-05-21 00:00:00.000 UTC,346
bnb,2023-05-22 00:00:00.000 UTC,569
bnb,2023-05-23 00:00:00.000 UTC,835
bnb,2023-05-24 00:00:00.000 UTC,609
bnb,2023-05-25 00:00:00.000 UTC,545
bnb,2023-05-26 00:00:00.000 UTC,575
bnb,2023-05-27 00:00:00.000 UTC,367
bnb,2023-05-28 00:00:00.000 UTC,343
bnb,2023-05-29 00:00:00.000 UTC,651
bnb,2023-05-30 00:00:00.000 UTC,594
bnb,2023-05-31 00:00:00.000 UTC,701
bnb,2023-06-01 00:00:00.000 UTC,767
bnb,2023-06-02 00:00:00.000 UTC,668
bnb,2023-06-03 00:00:00.000 UTC,406
bnb,2023-06-04 00:00:00.000 UTC,355
bnb,2023-06-05 00:00:00.000 UTC,610
bnb,2023-06-06 00:00:00.000 UTC,501
bnb,2023-06-07 00:00:00.000 UTC,711
bnb,2023-06-08 00:00:00.000 UTC,526
bnb,2023-06-09 00:00:00.000 UTC,507
bnb,2023-06-10 00:00:00.000 UTC,431
bnb,2023-06-11 00:00:00.000 UTC,257
bnb,2023-06-12 00:00:00.000 UTC,533
bnb,2023-06-13 00:00:00.000 UTC,561
bnb,2023-06-14 00:00:00.000 UTC,547
bnb,2023-06-15 00:00:00.000 UTC,546
bnb,2023-06-16 00:00:00.000 UTC,489
bnb,2023-06-17 00:00:00.000 UTC,331
bnb,2023-06-18 00:00:00.000 UTC,343
bnb,2023-06-19 00:00:00.000 UTC,516
bnb,2023-06-20 00:00:00.000 UTC,472
bnb,2023-06-21 00:00:00.000 UTC,584
bnb,2023-06-22 00:00:00.000 UTC,476
bnb,2023-06-23 00:00:00.000 UTC,443
bnb,2023-06-24 00:00:00.000 UTC,311
bnb,2023-06-25 00:00:00.000 UTC,348
bnb,2023-06-26 00:00:00.000 UTC,531
bnb,2023-06-27 00:00:00.000 UTC,482
bnb,2023-06-28 00:00:00.000 UTC,625
bnb,2023-06-29 00:00:00.000 UTC,497
bnb,2023-06-30 00:00:00.000 UTC,496
bnb,2023-07-01 00:00:00.000 UTC,318
bnb,2023-07-02 00:00:00.000 UTC,326
bnb,2023-07-03 00:00:00.000 UTC,606
bnb,2023-07-04 00:00:00.000 UTC,519
bnb,2023-07-05 00:00:00.000 UTC,502
bnb,2023-07-06 00:00:00.000 UTC,465
bnb,2023-07-07 00:00:00.000 UTC,440
bnb,2023-07-08 00:00:00.000 UTC,338
bnb,2023-07-09 00:00:00.000 UTC,393
bnb,2023-07-10 00:00:00.000 UTC,506
bnb,2023-07-11 00:00:00.000 UTC,621
bnb,2023-07-12 00:00:00.000 UTC,492
bnb,2023-07-13 00:00:00.000 UTC,533
bnb,2023-07-14 00:00:00.000 UTC,514
bnb,2023-07-15 00:00:00.000 UTC,308
bnb,2023-07-16 00:00:00.000 UTC,237
bnb,2023-07-17 00:00:00.000 UTC,469
bnb,2023-07-18 00:00:00.000 UTC,513
bnb,2023-07-19 00:00:00.000 UTC,430
bnb,2023-07-20 00:00:00.000 UTC,434
bnb,2023-07-21 00:00:00.000 UTC,481
bnb,2023-07-22 00:00:00.000 UTC,288
bnb,2023-07-23 00:00:00.000 UTC,303
bnb,2023-07-24 00:00:00.000 UTC,570
bnb,2023-07-25 00:00:00.000 UTC,582
bnb,2023-07-26 00:00:00.000 UTC,474
bnb,2023-07-27 00:00:00.000 UTC,484
bnb,2023-07-28 00:00:00.000 UTC,376
bnb,2023-07-29 00:00:00.000 UTC,223
bnb,2023-07-30 00:00:00.000 UTC,286
bnb,2023-07-31 00:00:00.000 UTC,520
bnb,2023-08-01 00:00:00.000 UTC,617
bnb,2023-08-02 00:00:00.000 UTC,545
bnb,2023-08-03 00:00:00.000 UTC,530
bnb,2023-08-04 00:00:00.000 UTC,381
bnb,2023-08-05 00:00:00.000 UTC,337
bnb,2023-08-06 00:00:00.000 UTC,396
bnb,2023-08-07 00:00:00.000 UTC,511
bnb,2023-08-08 00:00:00.000 UTC,700
bnb,2023-08-09 00:00:00.000 UTC,471
bnb,2023-08-10 00:00:00.000 UTC,469
bnb,2023-08-11 00:00:00.000 UTC,447
bnb,2023-08-12 00:00:00.000 UTC,273
ethereum,2023-04-14 00:00:00.000 UTC,1711
ethereum,2023-04-15 00:00:00.000 UTC,910
ethereum,2023-04-16 00:00:00.000 UTC,762
ethereum,2023-04-17 00:00:00.000 UTC,1885
ethereum,2023-04-18 00:00:00.000 UTC,1456
ethereum,2023-04-19 00:00:00.000 UTC,1604
ethereum,2023-04-20 00:00:00.000 UTC,1702
ethereum,2023-04-21 00:00:00.000 UTC,1916
ethereum,2023-04-22 00:00:00.000 UTC,950
ethereum,2023-04-23 00:00:00.000 UTC,643
ethereum,2023-04-24 00:00:00.000 UTC,1683
ethereum,2023-04-25 00:00:00.000 UTC,1782
ethereum,2023-04-26 00:00:00.000 UTC,1691
ethereum,2023-04-27 00:00:00.000 UTC,1758
ethereum,2023-04-28 00:00:00.000 UTC,1742
ethereum,2023-04-29 00:00:00.000 UTC,657
ethereum,2023-04-30 00:00:00.000 UTC,807
ethereum,2023-05-01 00:00:00.000 UTC,1637
ethereum,2023-05-02 00:00:00.000 UTC,1777
ethereum,2023-05-03 00:00:00.000 UTC,1643
ethereum,2023-05-04 00:00:00.000 UTC,1519
ethereum,2023-05-05 00:00:00.000 UTC,1279
ethereum,2023-05-06 00:00:00.000 UTC,593
ethereum,2023-05-07 00:00:00.000 UTC,594
ethereum,2023-05-08 00:00:00.000 UTC,1576
